no,nama,kalimat,tema_postingan,ponpes,sentiment_class,sentiment_score,aspek_manual,text_for_rnn
452,Wakiah S,Innalilahi wainnailaihi Rojiun,Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI,Ponpes Syekh Hasan Yamani,Positive,7.0,Akademik,Innalilahi wainnailaihi Rojiun Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI
453,Putri Jannah,Alfateha unk beliau,Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI,Ponpes Syekh Hasan Yamani,Positive,7.0,Akademik,Alfateha unk beliau Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI
454,Yasri Tola,Innalillahi wainna ilaihi rojiun,Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI,Ponpes Syekh Hasan Yamani,Positive,7.0,Akademik,Innalillahi wainna ilaihi rojiun Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI
455,Ela Fittri,Alfatiha buat beliau,Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI,Ponpes Syekh Hasan Yamani,Positive,8.0,Akademik,Alfatiha buat beliau Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI
456,Rahma Mariase,"Innalillahi wainna ilaihi rajiun,semoga husnul khatimah ananda  Puspawati 🤲🤲",Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI,Ponpes Syekh Hasan Yamani,Positive,11.0,Akademik,"Innalillahi wainna ilaihi rajiun,semoga husnul khatimah ananda  Puspawati 🤲🤲 Meninggalnya anak kami santriwati kami (alumni) SALIHAH PUSPAWATI"
457,Arul Jie,"Sehat dan sukses selalu para ustadzah dan anak² kita Santriwati,,, Aamiin 🤲",VIDEO LIPUTAN UJIAN LISAN (PUTRi),Ponpes Syekh Hasan Yamani,Positive,16.0,Pembinaan Karakter,"Sehat dan sukses selalu para ustadzah dan anak² kita Santriwati,,, Aamiin 🤲 VIDEO LIPUTAN UJIAN LISAN (PUTRi)"
458,Salwa Zahra,masyaallah 💪sehat slluh nak Sholehah ku Aamiin 🤲🤲🤲🥰,VIDEO LIPUTAN UJIAN LISAN (PUTRi),Ponpes Syekh Hasan Yamani,Positive,8.0,Pembinaan Karakter,masyaallah 💪sehat slluh nak Sholehah ku Aamiin 🤲🤲🤲🥰 VIDEO LIPUTAN UJIAN LISAN (PUTRi)
459,Anty Lubis,"semangat belajarnya anak Sholeha ku syahnas dan syahwa berkah dunia akhirat _x000D_
Sehat selalu ustadzah dan santriwati 🤲😇🥰",VIDEO LIPUTAN UJIAN LISAN (PUTRi),Ponpes Syekh Hasan Yamani,Positive,25.0,Pembinaan Karakter,"semangat belajarnya anak Sholeha ku syahnas dan syahwa berkah dunia akhirat _x000D_
Sehat selalu ustadzah dan santriwati 🤲😇🥰 VIDEO LIPUTAN UJIAN LISAN (PUTRi)"
460,Alina Putri,semoga di lancarkan ujianx naksalam.Aamin🤲🤲🤲,Liputan Vidio Ujian Lisan Putra,Ponpes Syekh Hasan Yamani,Positive,8.0,Pembinaan Karakter,semoga di lancarkan ujianx naksalam.Aamin🤲🤲🤲 Liputan Vidio Ujian Lisan Putra
461,Irma Febriana,Semoga dilancarkan semua ujiannya anak2q🤲🤲🤲,Liputan Vidio Ujian Lisan Putra,Ponpes Syekh Hasan Yamani,Positive,9.0,Pembinaan Karakter,Semoga dilancarkan semua ujiannya anak2q🤲🤲🤲 Liputan Vidio Ujian Lisan Putra
462,BpkNe Wawan,Kelas berapami ini ?,Liputan Vidio Ujian Lisan Putra,Ponpes Syekh Hasan Yamani,Positive,4.0,Pembinaan Karakter,Kelas berapami ini ? Liputan Vidio Ujian Lisan Putra
463,Mira Amar,Semangat para murid 💪💪,Liputan Vidio Ujian Lisan Putra,Ponpes Syekh Hasan Yamani,Positive,11.0,Pembinaan Karakter,Semangat para murid 💪💪 Liputan Vidio Ujian Lisan Putra
464,Basryana Ana,"Smangat Nak Sholeh,smoga ujian dan hapalanx brjalan Lancar Amiiiiiiin 🤲🤲🤲",Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,30.0,Lingkungan,"Smangat Nak Sholeh,smoga ujian dan hapalanx brjalan Lancar Amiiiiiiin 🤲🤲🤲 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris "
465,Nur Hayati,Semangat ya nak semoga ujiannya dan hapalanx  berjalan dengan lancar Aamiin 🤲🤲🤲,Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,38.0,Lingkungan,Semangat ya nak semoga ujiannya dan hapalanx  berjalan dengan lancar Aamiin 🤲🤲🤲 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris 
466,Nur Ba Ya,Masya Allah Anakku 🥰,Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,31.0,Lingkungan,Masya Allah Anakku 🥰 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris 
467,Tanty,"MasyaAllah anak shaleh shalehah,,,smoga ujianx brjalan lancar,,aamiin",Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,34.0,Lingkungan,"MasyaAllah anak shaleh shalehah,,,smoga ujianx brjalan lancar,,aamiin Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris "
468,Ica Asis Ica,Semangat terus belajar ya anak anak Soleh .semoga di lancarn smua ujian nya nk  🤲🤲,Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,40.0,Lingkungan,Semangat terus belajar ya anak anak Soleh .semoga di lancarn smua ujian nya nk  🤲🤲 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris 
469,Fauzan Fauzan,MasyaAllah semangat ujianx anak dan hafalanx bejalan lancar amiin🤲🤲🤲🤲🤲,Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,37.0,Lingkungan,MasyaAllah semangat ujianx anak dan hafalanx bejalan lancar amiin🤲🤲🤲🤲🤲 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris 
470,Fahry Rahma,"MasyaAllah semangat ujiannya nak sholeh,,semoga ujian & hafalannya lancar,,,🤲🤲",Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris ,Ponpes Syekh Hasan Yamani,Positive,37.0,Lingkungan,"MasyaAllah semangat ujiannya nak sholeh,,semoga ujian & hafalannya lancar,,,🤲🤲 Ujian ini bertujuan untuk melatih kembali kemampuan bahasa arab dan inggris "
471,Arul Jie,"Semoga anak-anak kita semua santri/Wati diberikan kesehatan dan kekuatan untuk bisa mengikuti ujian dengan baik dan lancar,,, Aamiin 🤲",GOOD LUCK FOR FIRST SEMESTER EXAMINATION PONDOK PESANTREN SYEKH ,Ponpes Syekh Hasan Yamani,Positive,46.0,Lingkungan,"Semoga anak-anak kita semua santri/Wati diberikan kesehatan dan kekuatan untuk bisa mengikuti ujian dengan baik dan lancar,,, Aamiin 🤲 GOOD LUCK FOR FIRST SEMESTER EXAMINATION PONDOK PESANTREN SYEKH "
472,Salwa Zahra,masyaallah semangat buat semuaa anak2 Sholeh/Sholehah 🤲🥰💪dan sehat slluh di pondok 🤲🤲,GOOD LUCK FOR FIRST SEMESTER EXAMINATION PONDOK PESANTREN SYEKH ,Ponpes Syekh Hasan Yamani,Positive,23.0,Pembinaan Karakter,masyaallah semangat buat semuaa anak2 Sholeh/Sholehah 🤲🥰💪dan sehat slluh di pondok 🤲🤲 GOOD LUCK FOR FIRST SEMESTER EXAMINATION PONDOK PESANTREN SYEKH 
473,Lindea Aline,"Maaf...jadi mulai hari Ahad, tidak bisami dibesuk anak-anak?",MAKLUMAT / Pengumuman resmi ,Ponpes Syekh Hasan Yamani,Positive,26.0,Pembinaan Karakter,"Maaf...jadi mulai hari Ahad, tidak bisami dibesuk anak-anak? MAKLUMAT / Pengumuman resmi "
474,Wakiah S,MaasyaAllah Tabarakallah moment yg langka ustadz pagelaran panggung gembirax terasa nonton konser Luar biasa SALUUT Ponpes syekh Hasan yamani 👍👍,"Lembaran Sejarah Yang Kami Ukir, Telah Berlalu. Merajut Kebersamaan, Menegakkan Nilai Perjuangan.",Ponpes Syekh Hasan Yamani,Positive,48.0,Pembinaan Karakter,"MaasyaAllah Tabarakallah moment yg langka ustadz pagelaran panggung gembirax terasa nonton konser Luar biasa SALUUT Ponpes syekh Hasan yamani 👍👍 Lembaran Sejarah Yang Kami Ukir, Telah Berlalu. Merajut Kebersamaan, Menegakkan Nilai Perjuangan."
475,Sri Vana,Sukses selalu pondok tercinta Shyekh Hasan Yamani💪👍👍👍,"Lembaran Sejarah Yang Kami Ukir, Telah Berlalu. Merajut Kebersamaan, Menegakkan Nilai Perjuangan.",Ponpes Syekh Hasan Yamani,Positive,36.0,Pembinaan Karakter,"Sukses selalu pondok tercinta Shyekh Hasan Yamani💪👍👍👍 Lembaran Sejarah Yang Kami Ukir, Telah Berlalu. Merajut Kebersamaan, Menegakkan Nilai Perjuangan."
476,Nur,MasyaAllah mengahx🥰,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,21.0,Motivasi/Spiritual,MasyaAllah mengahx🥰 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
477,Anisa Yunus,"Saya merasa sangat beruntung sempat menjadi bagian PPS Hasan Yamani meskipun hanya sebentar, semoga selalu melahirkan, menciptakan insan saleh saleha aamiin aamiin aamiin 😇🥰🤲🤲🤲",View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,60.0,Motivasi/Spiritual,"Saya merasa sangat beruntung sempat menjadi bagian PPS Hasan Yamani meskipun hanya sebentar, semoga selalu melahirkan, menciptakan insan saleh saleha aamiin aamiin aamiin 😇🥰🤲🤲🤲 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 "
478,Cha Japo,Alhamdulillah MasyaAlloh Tabarrokalloh 👍,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,26.0,Motivasi/Spiritual,Alhamdulillah MasyaAlloh Tabarrokalloh 👍 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
479,Rosma Rudi,Alhamdulillah ya ALLAH perna jadi bagian penghuni hasan yamani Alumni pertama santriwati walaupun menjadi santriwati pertama hanya 10 santriwati kami tetap semangat🥰🥰🥰 Terima kasih ustadz dan ustadzah atas ilmu dan pengabdiannya miss you hasan yamani,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,88.0,Motivasi/Spiritual,Alhamdulillah ya ALLAH perna jadi bagian penghuni hasan yamani Alumni pertama santriwati walaupun menjadi santriwati pertama hanya 10 santriwati kami tetap semangat🥰🥰🥰 Terima kasih ustadz dan ustadzah atas ilmu dan pengabdiannya miss you hasan yamani View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
480,Rusnaim Sunusi,Rindu masa itu saat kita jadi pemain pentasnya meski masih aederhana,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,35.0,Motivasi/Spiritual,Rindu masa itu saat kita jadi pemain pentasnya meski masih aederhana View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
481,Nur Ba Ya,Masya Allah 🥰,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,26.0,Motivasi/Spiritual,Masya Allah 🥰 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
482,Ika Alif Alfatih,Masyaa Allah,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,26.0,Motivasi/Spiritual,Masyaa Allah View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
483,Halima Sulbi,Semoga Nak Putri sukses selalu 🤲,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,25.0,Motivasi/Spiritual,Semoga Nak Putri sukses selalu 🤲 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
484,Putri Berlian,Subhanallah 😍 muda2han anakku nanti ad rezekinya mondok di Hasan yamani,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,41.0,Motivasi/Spiritual,Subhanallah 😍 muda2han anakku nanti ad rezekinya mondok di Hasan yamani View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
485,Farhan Akbar Tohari,Masya Allah megahx,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,26.0,Motivasi/Spiritual,Masya Allah megahx View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
486,Nasmach Masriyanto,Makasih ust dan ustadzah Pondok Pesantren Syekh Hasan Yamani yg telah memberikan ruang gerak dan kontribusi dlm mengembangkan potensi seni anak2 kami..🤗🤗🥹🥹,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,53.0,Motivasi/Spiritual,Makasih ust dan ustadzah Pondok Pesantren Syekh Hasan Yamani yg telah memberikan ruang gerak dan kontribusi dlm mengembangkan potensi seni anak2 kami..🤗🤗🥹🥹 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
487,Arul Jie,Izin share,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,25.0,Motivasi/Spiritual,Izin share View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
488,Nurlina,pesantren mn ini say,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,22.0,Motivasi/Spiritual,pesantren mn ini say View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
489,Asriani Kadir,"Semangat anak""q semoaga sehat slalu di dalam sana Doa menyertaimu slalu",View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,44.0,Motivasi/Spiritual,"Semangat anak""q semoaga sehat slalu di dalam sana Doa menyertaimu slalu View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 "
490,Wakiah S,MaasyaAllah Tabarakallah 🤲,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,21.0,Motivasi/Spiritual,MaasyaAllah Tabarakallah 🤲 View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
491,Yusuf Madani,Masyaallah tabarokallah,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,21.0,Motivasi/Spiritual,Masyaallah tabarokallah View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
492,Aufar Oppaa,Pentasnya dong ustadz,View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 ,Ponpes Syekh Hasan Yamani,Positive,24.0,Motivasi/Spiritual,Pentasnya dong ustadz View dari atas udara pada acara kegiatan Apresiasi Seni Santri Panggung Gembira 2024 
493,Fifah Hanyfah II,Keren 👍👍👍,Recap Vidio Maulid di Pondok Pesantren Syekh Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,7.0,Sosial,Keren 👍👍👍 Recap Vidio Maulid di Pondok Pesantren Syekh Hasan Yamani
494,Cha Japo,Izin share 🙏,Recap Vidio Maulid di Pondok Pesantren Syekh Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,11.0,Sosial,Izin share 🙏 Recap Vidio Maulid di Pondok Pesantren Syekh Hasan Yamani
495,Masrurah Udha,Aamiin,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,17.0,Sosial,Aamiin Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
496,Arul Jie,Aamiin 🤲,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,17.0,Sosial,Aamiin 🤲 Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
497,Madrianah Nana,Masyaa Allah...aamiin ya robbal alamiin 🤲,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,22.0,Sosial,Masyaa Allah...aamiin ya robbal alamiin 🤲 Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
498,Rahma Mariase,Aamiin,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,17.0,Sosial,Aamiin Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
499,Rahman Syakir Baas,Aamiin,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,17.0,Sosial,Aamiin Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
500,Ady Fadhel Fadly,Aamin,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,15.0,Sosial,Aamin Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
501,Yusuf Madani,Amiin,Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. ,Ponpes Syekh Hasan Yamani,Positive,15.0,Sosial,Amiin Berkah & Jaya Selalu Pondok Pesantren Syekh Hasan Yamani. 
502,BpkNe Wawan,"Klo beginimi ustadzah hadirin-hadiratnya sangat banyak dan rame sekali apalagi ada Panggung Gembira nya, wow sungguh meriah dan luar biasa' ustadzah ya",Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,41.0,Motivasi/Spiritual,"Klo beginimi ustadzah hadirin-hadiratnya sangat banyak dan rame sekali apalagi ada Panggung Gembira nya, wow sungguh meriah dan luar biasa' ustadzah ya Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani"
503,Fauzan Fauzan,Masyaallah,Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,10.0,Motivasi/Spiritual,Masyaallah Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani
504,Salwa Zahra,MasyaAllah 🥰🥰,Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,10.0,Motivasi/Spiritual,MasyaAllah 🥰🥰 Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani
505,As Syafa PaDevy,Kapan lagi PG di pondok,Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,13.0,Motivasi/Spiritual,Kapan lagi PG di pondok Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani
506,Yasin Ir,❤️,Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani,Ponpes Syekh Hasan Yamani,Positive,10.0,Motivasi/Spiritual,❤️ Denah Parkir Maulid Nabi Muhammad SAW PP. S. Hasan Yamani
507,Harlina Masdar,❤️Masya Allah bikin merinding ini anak luar biasa orang tuanya mendidik,Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,31.0,Kualitas Guru,❤️Masya Allah bikin merinding ini anak luar biasa orang tuanya mendidik Juara 1 Qori Al-Quran Tingkat Nasional
508,Cha Japo,MasyaAlloh Tabarrokalloh 👍,Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,4.0,Kualitas Guru,MasyaAlloh Tabarrokalloh 👍 Juara 1 Qori Al-Quran Tingkat Nasional
509,Musdalifah Abduh,"MasyaAllah,,,,,Alhamdulillah berkah dunia akhirat.",Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,16.0,Kualitas Guru,"MasyaAllah,,,,,Alhamdulillah berkah dunia akhirat. Juara 1 Qori Al-Quran Tingkat Nasional"
510,Muslimah Qasim,Alhamdulillah🤲🥰,Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,9.0,Kualitas Guru,Alhamdulillah🤲🥰 Juara 1 Qori Al-Quran Tingkat Nasional
511,Yusuf Madani,"Dari seluruh peserta golongan ank ank saya liat live rri samarinda qori syahruddin paling ngetop _x000D_
full fowerr dan persis caranya qori syamsuri pirdaus pas masi kecil, semogah qori syahruddin sehat selalu dan tahun depan bisa paling terbaik dari seluruh yang terbaik amiin",Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,34.0,Kualitas Guru,"Dari seluruh peserta golongan ank ank saya liat live rri samarinda qori syahruddin paling ngetop _x000D_
full fowerr dan persis caranya qori syamsuri pirdaus pas masi kecil, semogah qori syahruddin sehat selalu dan tahun depan bisa paling terbaik dari seluruh yang terbaik amiin Juara 1 Qori Al-Quran Tingkat Nasional"
512,Rahma Rauf,Masyaallah ♥️♥️,Juara 1 Qori Al-Quran Tingkat Nasional,Ponpes Syekh Hasan Yamani,Positive,4.0,Kualitas Guru,Masyaallah ♥️♥️ Juara 1 Qori Al-Quran Tingkat Nasional
513,Nilawati Syamsul,"Maa syaa Allah, sebenarnya juara kembar ini krn nilainya sama dengan juara 3😍😍",MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,25.0,Pembinaan Karakter,"Maa syaa Allah, sebenarnya juara kembar ini krn nilainya sama dengan juara 3😍😍 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN"
514,Ahmad Djamaan,"subhanallah, selamat sukses juga buat Ponpes SHY",MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,18.0,Pembinaan Karakter,"subhanallah, selamat sukses juga buat Ponpes SHY MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN"
515,Umy RalGifari,MasyaALLAH,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,6.0,Pembinaan Karakter,MasyaALLAH MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
516,Muez Lhieha Latief,Alhamdulillah... Selamat anak sholeh,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,19.0,Pembinaan Karakter,Alhamdulillah... Selamat anak sholeh MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
517,Rahma Olshoop,Masya Allah slmt nak Sharul🥰,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,11.0,Pembinaan Karakter,Masya Allah slmt nak Sharul🥰 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
518,Salmiati S,Masya Allah.....selamat nak👍,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,16.0,Pembinaan Karakter,Masya Allah.....selamat nak👍 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
519,Nirmayanti Arham,MasyaAllah,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,6.0,Pembinaan Karakter,MasyaAllah MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
520,Nur Wahida Ismail,MaasyaAllah,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,6.0,Pembinaan Karakter,MaasyaAllah MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
521,Yahya,Masya Allah slmt baut Sharul sukses sllu nak ganteng,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,22.0,Pembinaan Karakter,Masya Allah slmt baut Sharul sukses sllu nak ganteng MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
522,Muslimah Qasim,Masya Allah selamat Nak Sholeh👏🥰,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,16.0,Pembinaan Karakter,Masya Allah selamat Nak Sholeh👏🥰 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
523,Wakiah S,MaasyaaAllah Tabbarakallah 🤲,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,6.0,Pembinaan Karakter,MaasyaaAllah Tabbarakallah 🤲 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
524,Lindea Aline,MasyaaAllah....sukses selalu Nak Soleh...,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,9.0,Pembinaan Karakter,MasyaaAllah....sukses selalu Nak Soleh... MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
525,Rahmatiah Syamsul,Alhamdulillah,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,11.0,Pembinaan Karakter,Alhamdulillah MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
526,Salwa Zahra,MasyaAllah 🥰,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,6.0,Pembinaan Karakter,MasyaAllah 🥰 MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
527,Asriani Gasali,Masya Allah,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,11.0,Pembinaan Karakter,Masya Allah MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
528,Darmina Ahmad,Alhamdulillohirobbil Aalamiiin ini sudah cikup Insya Alloh nnti tahun berikutnx dia yg juaranx,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,9.0,Pembinaan Karakter,Alhamdulillohirobbil Aalamiiin ini sudah cikup Insya Alloh nnti tahun berikutnx dia yg juaranx MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
529,زينب سفر الدين,Masya Allah,MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN,Ponpes Syekh Hasan Yamani,Positive,11.0,Pembinaan Karakter,Masya Allah MTQ Nasional 2024 kategori Tilawah anak-anak SYAHRUDDIN
